stop_id,stop_name,stop_lat,stop_lon
1003088,SA442 HENTIAN SEKSYEN 19,3.05578,101.525905
1000478,SA428 CIAST,3.052867,101.524969
1003090,SA934 SMK SEKSYEN 18 (OPP),3.051810111,101.5243534
1003091,SA935 SEKYEN 19 (UTARA),3.049167618,101.5251185
1000734,SA425 SEKSYEN 23 (BARAT),3.048563524,101.5280258
1002229,SA454 SEKSYEN 19 (SELATAN),3.048676175,101.5303742
1001018,SA421 SEKSYEN 23 (UTARA),3.047091175,101.5321333
1001403,SA388 SEKSYEN 23 (SELATAN),3.042169258,101.5341732
1002424,SA389 TAMAN SRI MUDA SEKSYEN 25 (UTARA),3.036845112,101.5343791
1000356,SA392 MASJID TAMAN SRI MUDA,3.034145335,101.5345174
1003610,SA405 HAB TAMAN SRI MUDA,3.030725794,101.5349905
1000323,SA407 APARTMENT ANDORRA,3.02626336,101.5364683
1008089,SMK TAMAN SRI MUDA,3.026127,101.539046
1008090,SA397 TAMAN PERINDUSTRIAN AXIS,3.025822,101.541811
1008091,SURAU KEMUNING UTAMA,3.016653,101.541827
1008106,SA216 KOTA KEMUNING CENTRAL LAKE,3.002302,101.539769
1001568,SA217 KOTA KEMUNING BUSINESS PARK,3.003037,101.538284
1000073,SA218 CANAL GARDEN,3.003579442,101.5339916
1008105,GAMUDA WALK MALL,3.000565,101.532836
1008092,SA223 CHINESE TAIPEI SCHOOL KL,2.997926,101.52742
1008093,SHAH ALAM BUDDIST SOCIETY,2.995262,101.526684
1000817,SA191 MERANTI TERRACE,2.986911319,101.5354064
1002799,SA196 PUSAT PERNIAGAAN KOTA KEMUNING,2.987127,101.540773
1008107,SA213 PANGSAPURI SRI KEMUNING (TIMUR),2.990847,101.549845
1000676,PANGSAPURI SRI KEMUNING (UTARA),2.991606079,101.5495025
1002178,SA214 PANGSAPURI SRI KEMUNING (BARAT),2.990915,101.548514
1003920,SA207 KOTA KEMUNING INDUSTRIAL PARK (SELATAN),2.989486,101.547371
1008094,SA215 SK KOTA KEMUNING (OPP),2.995521,101.546295
1008095,PERUMAHAN KEMUNING PERMAI,3.01125,101.5426
1008096,SURAU KEMUNING UTAMA (OPP),3.016773,101.541612
1008097,SA398 TAMAN PERINDUSTRIAN AXIS,3.025957,101.541671
1001993,SA403 APARTMENT MEDITERANEAN,3.032352,101.539293
1004060,SA411 HAB TAMAN SRI MUDA,3.030417539,101.5347596
1000350,SA417 MASJID TAMAN SRI MUDA (OPP),3.034468996,101.5342357
1002854,SA416 TAMAN SRI MUDA SEKSYEN 25,3.03695792,101.5340438
1002092,SA418 SEKSYEN 23,3.042274941,101.5338907
1000821,SA422 SEKSYEN 23 (UTARA),3.046606175,101.5318519
1002579,SA423 SEKSYEN 19 (SELATAN),3.0484296,101.5301844
1006702,KL2424 DAMANLELA CARPARK,3.149055,101.66251
1007137,KL1174 MRT SEMANTAN PINTU B,3.151704,101.665622
1008432,PANGSAPURI SRI AYU,2.994351,101.492657
1008433,TAMAN CAMELIA,2.995259,101.492097
1009120,KILANG INTERGREEN,2.993229,101.489157
1009123,PERUMAHAN JALAN PENDING,2.993981,101.470175
1009124,IMPIAN SENTOSA APARTMENT (OPP),2.997883,101.468483
1009126,BD593 KOMERSIAL TAMAN SENTOSA,3.002175,101.470071
1009129,TAMAN MEWAH JAYA,3.007932,101.472124
1008440,PASARAYA NSK,3.007153,101.478485
1008438,HOSPITAL PAKAR SENTOSA,3.005388,101.483227
1009119,BD355 AMJ INDUSTRIAL PARK (SELATAN),3.005597,101.491575
1009116,BD10 AMJ INDUSTRIAL PARK (UTARA),3.006984,101.490793
1009114,BD9 KG JAWA BATU 9,3.008305,101.489998
1009112,BD8 SJKT BATU AMPAT,3.011781,101.487975
1009110,BD7 TAMAN SENTOSA PERDANA,3.014696,101.486258
1009108,BD6 TAMAN KANDIS PERMAI (SELATAN),3.018175,101.484214
1009106,BD5 TAMAN KANDIS PERMAI (UTARA),3.020566,101.482805
1009107,BD356 DESA LATANIA,3.021622,101.482181
1009103,BD4 TAMAN KLANG INDAH,3.022822,101.481453
1009102,BD3 GIANT (SELATAN),3.024157,101.480731
1009099,BD2 GIANT (UTARA),3.025776,101.479804
1009097,BD1 KG SG KANDIS (BARAT),3.027773,101.478977
1009095,BD40 TAMAN MENEGUN INDAH/SK TELOK MENEGON,3.031412,101.474477
1009093,BD42 TAMAN ALAM SHAH/KARYA RESIDENSI,3.029398,101.469291
1009092,BD43 TAMAN BIJAYA,3.028332,101.466493
1008449,BD44 TAMAN RAJA NONG,3.028394,101.461972
1008451,BD45 MASJID DATUK DAGANG (OPP),3.028896,101.460574
1008453,BD46 TAMAN SHAHBANDARAYA,3.030099,101.45749
1008455,BD47 TAMAN NAKHODA YUSOF,3.031185,101.455172
1008457,BD48 KISAS (OPP),3.033743,101.451732
1008459,BD49 ISTANA ALAM SHAH,3.037576,101.451473
1008461,BD50 DEWAN MELAYU KLANG,3.039031,101.451744
1006001,BD51 SK KLANG,3.040408,101.450591
1006366,BD579 PLAZA MPK,3.047822,101.448931
1006008,SJKC KONG HOE,3.047747,101.451738
1001516,BD580 WISMA HAFIZ,3.046749,101.449869
1006000,BD28 KTM KLANG,3.042817,101.450068
1008462,BD29 KOMPLEKS SUKAN,3.038694,101.451862
1008460,BD30 SM CHUNG HUA,3.037157,101.451601
1008458,BD31 KISAS,3.033162,101.452857
1008456,BD32 TAMAN NAKHODA YUSOF,3.031165,101.455506
1008454,BD33 TAMAN SHAHBANDARAYA,3.030178,101.457712
1008452,BD34 MASJID DATUK DAGANG,3.029205,101.460269
1008450,BD35 TAMAN RAJA NONG,3.028638,101.461872
1009091,BD36 TAMAN SRI MEWAH,3.028481,101.466279
1009094,BD38 TAMAN ALAM SHAH,3.030427,101.471377
1009096,BD39 TAMAN MENEGUN INDAH/SURAU HIDAYAH,3.032003,101.475395
1009098,SA867 KG SG KANDIS (BARAT),3.027196,101.479328
1009100,SA868 GIANT (UTARA),3.025792,101.480005
1009101,SA869 GIANT (SELATAN),3.024212,101.480891
