route_id,service_id,trip_id
S4060,weekend,weekend_S4060_S406002_0
S4060,weekend,weekend_S4060_S406002_1
S4060,weekend,weekend_S4060_S406002_2
S0100,weekday,weekday_S0100_S010002_0
S0100,weekend,weekend_S0100_S010002_0
S3040,weekday,weekday_S3040_S304002_0
S3040,weekend,weekend_S3040_S304002_0
S3040,weekend,weekend_S3040_S304002_1
T2020,weekday,weekday_T2020_T202002_0
T2020,weekday,weekday_T2020_T202002_1
T2020,weekday,weekday_T2020_T202002_2
T2020,weekday,weekday_T2020_T202002_3
T2020,weekday,weekday_T2020_T202002_4
T2020,weekday,weekday_T2020_T202002_5
T2020,weekday,weekday_T2020_T202002_6
T2020,weekday,weekday_T2020_T202002_7
T2020,weekend,weekend_T2020_T202002_0
T2020,weekend,weekend_T2020_T202002_1
T2020,weekend,weekend_T2020_T202002_2
T2020,weekend,weekend_T2020_T202002_3
T2020,weekend,weekend_T2020_T202002_4
T2020,weekend,weekend_T2020_T202002_5
T2510,weekday,weekday_T2510_T251002_0
T2510,weekday,weekday_T2510_T251002_1
T2510,weekday,weekday_T2510_T251002_2
T2510,weekday,weekday_T2510_T251002_3
T2510,weekday,weekday_T2510_T251002_4
T2510,weekday,weekday_T2510_T251002_5
T2510,weekday,weekday_T2510_T251002_6
T2510,weekend,weekend_T2510_T251002_0
T2510,weekend,weekend_T2510_T251002_1
T2510,weekend,weekend_T2510_T251002_2
T2510,weekend,weekend_T2510_T251002_3
T2510,weekend,weekend_T2510_T251002_4
T2510,weekend,weekend_T2510_T251002_5
T2510,weekend,weekend_T2510_T251002_6
U2220,weekend,weekend_U2220_U222002_0
S1040,weekday,weekday_S1040_S104002_0
S1040,weekday,weekday_S1040_S104002_1
S1040,weekend,weekend_S1040_S104002_0
S1040,weekend,weekend_S1040_S104002_1
S1140,weekday,weekday_S1140_S114002_0
S1140,weekday,weekday_S1140_S114002_1
S1140,weekday,weekday_S1140_S114002_2
S1140,weekday,weekday_S1140_S114002_3
S1030,weekend,weekend_S1030_S103002_0
S1140,weekend,weekend_S1140_S114002_0
S1140,weekend,weekend_S1140_S114002_1
S1140,weekend,weekend_S1140_S114002_2
S1140,weekend,weekend_S1140_S114002_3
S0060,weekday,weekday_S0060_S006002_0
S0060,weekday,weekday_S0060_S006002_1
S0060,weekday,weekday_S0060_S006002_2
S0060,weekday,weekday_S0060_S006002_3
